number,final record date
53480,2024-09-19 15:00:00+08:00
53481,2024-09-19 15:00:00+08:00
53483,2024-09-19 15:00:00+08:00
53484,2024-09-19 15:00:00+08:00
53486,2024-09-19 16:00:00+08:00
53487,2024-09-19 16:00:00+08:00
53488,2024-09-19 16:00:00+08:00
53490,2024-09-19 16:00:00+08:00
53491,2024-09-19 17:00:00+08:00
53492,2024-09-19 17:00:00+08:00
53498,2024-09-19 17:00:00+08:00
53499,2024-09-19 17:00:00+08:00
53502,2024-09-19 15:00:00+08:00
53505,2024-09-19 15:00:00+08:00
53512,2024-09-19 15:00:00+08:00
53513,2024-09-19 15:00:00+08:00
53517,2024-09-19 16:00:00+08:00
53518,2024-09-19 15:00:00+08:00
53519,2024-09-19 15:00:00+08:00
53522,2024-09-19 15:00:00+08:00
53529,2024-09-19 15:00:00+08:00
53533,2024-09-19 15:00:00+08:00
53543,2024-09-19 15:00:00+08:00
53545,2024-09-19 15:00:00+08:00
53547,2024-09-19 15:00:00+08:00
53553,2024-09-19 15:00:00+08:00
53562,2024-09-19 15:00:00+08:00
53564,2024-09-19 16:00:00+08:00
53565,2024-09-19 16:00:00+08:00
53567,2024-09-19 19:00:00+08:00
53573,2024-09-19 16:00:00+08:00
53574,2024-09-19 16:00:00+08:00
53575,2024-09-19 16:00:00+08:00
53576,2024-09-19 16:00:00+08:00
53577,2024-09-19 16:00:00+08:00
53578,2024-09-19 16:00:00+08:00
53579,2024-09-19 16:00:00+08:00
53580,2024-09-19 16:00:00+08:00
53582,2024-09-19 16:00:00+08:00
53584,2024-09-19 16:00:00+08:00
53585,2024-09-19 16:00:00+08:00
53588,2024-09-19 16:00:00+08:00
53590,2024-09-19 16:00:00+08:00
53593,2024-09-19 17:00:00+08:00
53594,2024-09-19 16:00:00+08:00
53596,2024-09-19 17:00:00+08:00
53599,2024-09-19 17:00:00+08:00
53602,2024-09-19 15:00:00+08:00
53603,2024-09-19 16:00:00+08:00
53610,2024-09-19 15:00:00+08:00
53611,2024-09-19 15:00:00+08:00
